"Comp1","Comp2","Comp3","Comp4"
-35.4022967228429,-31.1571015700076,-30.5479083826097,-31.0711730083975
-30.8734421973967,-26.5577576120181,-25.9554855157452,-26.4832531846342
-27.742482864742,-23.3548149263965,-22.7595751234592,-23.2954344746892
-25.4082291376197,-20.9424965748582,-20.3538664426268,-20.9008216698486
-23.615047315202,-19.0593519162239,-18.4755221243062,-19.0359776770297
-22.2199120280748,-17.5574276479427,-16.9753684970103,-17.5511814247867
-21.1322760742469,-16.3435682020026,-15.7599939564403,-16.3526986509243
-20.2908036196057,-15.3561774374534,-14.7683920088838,-15.3795501686471
-19.6523304556864,-14.5533320700682,-13.959445418528,-14.5908405907447
-19.1856800893782,-13.9057934825075,-13.3045114917929,-13.9580650238645
-18.867461099577,-13.3927051093758,-12.7830603816551,-13.4606452430942
-18.6780142905239,-12.9988695216806,-12.3800787392553,-13.083356523882
-18.595139121236,-12.7127415424734,-12.0842523233728,-12.8144103030111
-18.5824823342256,-12.5243533814344,-11.8860888131219,-12.6432162015309
-18.57363891844,-12.4222616162466,-11.7750416494755,-12.5567846177828
-18.4769650206107,-12.3880934366953,-11.7343187240543,-12.5333723766996
-18.240855585302,-12.3874891072865,-11.7322593467682,-12.5332081677605
-17.9077845347698,-12.3624834356051,-11.7143183016622,-12.4949685238285
-17.5577157157551,-12.2471334365757,-11.6149988826514,-12.3609985490254
-17.244231498016,-12.0177856608001,-11.404431437498,-12.1254856174788
-16.9899493160247,-11.7152612071624,-11.1162628230636,-11.8367870498861
-16.8006018718794,-11.400605662377,-10.8098355925828,-11.5495781907941
-16.674016227807,-11.1151651268481,-10.5280663749829,-11.296538415012
-16.6031843020453,-10.8771262206468,-10.2907610982393,-11.0902149225657
-16.5759673543084,-10.6907357044553,-10.1030604118488,-10.9318031265873
-16.5732499613265,-10.5534336963473,-9.96279974278763,-10.817089919382
-16.5685979526026,-10.4594504674125,-9.86445127220645,-10.7394488626126
-16.5345763721809,-10.401357685944,-9.8009590931416,-10.6912917442694
-16.4566944435487,-10.3707487802537,-9.76459687173888,-10.6648973097697
-16.3432367098255,-10.3587169955361,-9.74747444493845,-10.6530249044894
-16.2187309703943,-10.3564982475011,-9.74202284868209,-10.6494120867713
-16.1084939785049,-10.3563891530666,-9.74157166587113,-10.6491271931996
-16.0285581299136,-10.3527276521822,-9.74093150327078,-10.6487248065385
-15.9834205619877,-10.3424920186727,-9.73677364139021,-10.6461767583314
-15.9672193032941,-10.3251855594604,-9.7276259703149,-10.6405997669214
-15.9660815126035,-10.3020740099383,-9.7134709191471,-10.6318494751004
-15.9625539695212,-10.2751758420604,-9.69512416627022,-10.6200919016894
-15.9426611408028,-10.2464294531819,-9.67364052745931,-10.6054762246255
-15.9023437227508,-10.217245662577,-9.64991297378738,-10.587986195672
-15.8480959294086,-10.1884132630988,-9.62450333010379,-10.5674612926005
-15.791282766503,-10.1602070216335,-9.59765078888236,-10.5437119309752
-15.7414276281172,-10.1325649730666,-9.56937237789017,-10.5166482706567
-15.7031398367633,-10.1052730617465,-9.53958977069257,-10.4863800023391
-15.6767953802778,-10.078138456955,-9.5082551922183,-10.45327279081
-15.6606023466143,-10.0511358442058,-9.47546797560042,-10.4179584808721
-15.6522140807741,-10.0245032814723,-9.44156762269542,-10.3813061928113
-15.649294300814,-9.99876374206598,-9.40718060403423,-10.3443618992775
-15.6491456216825,-9.97465810441156,-9.37320159357724,-10.3082579284933
-15.6478595348037,-9.9529996011409,-9.34070962688499,-10.2741015422924
-15.6397436884519,-9.93449295519827,-9.31083766325979,-10.2428644513696
-15.6179894587394,-9.91957716027692,-9.28461468767626,-10.2152896196167
-15.5770957651344,-9.90833520145465,-9.26280528920504,-10.1918212030874
-15.5160408727103,-9.90048716998618,-9.24578348672181,-10.1725667618005
-15.4398635919379,-9.89546512352046,-9.23347455604578,-10.1573083987071
-15.3581931208558,-9.89255128691003,-9.22538463595644,-10.1455760954263
-15.2817483566963,-9.89103675180792,-9.22071164370659,-10.1367707757552
-15.2190732377455,-9.8903442986577,-9.21849937461601,-10.130293287716
-15.174773674499,-9.89007866558232,-9.21778784180572,-10.1256381698483
-15.1491071679526,-9.89000765185011,-9.21772729553872,-10.1224378241364
-15.138455036131,-9.89000453569659,-9.21763897016173,-10.1204523529172
-15.1365394270041,-9.88998036684652,-9.21701945835487,-10.1194947645205
-15.1363681717739,-9.88981488325586,-9.21550195173463,-10.1192854003045
-15.1325179091041,-9.88928247228924,-9.21279799912253,-10.1192512278649
-15.1227827179645,-9.88797894582031,-9.20864375563623,-10.1183257242842
