"Comp1","Comp2","Comp3","Comp4"
-29.0278777039043,-35.0194925688746,-35.8235023241028,-30.402684523147
-24.4244492504784,-30.4518943971626,-31.6760918950195,-25.7959544650515
-21.215346384212,-27.2728839334778,-28.8931949737849,-22.5822137175816
-18.7966005513027,-24.8774466486005,-26.8075472327438,-20.1576529353504
-16.9082768146546,-23.0036087022369,-25.1051701085804,-18.2627134038914
-15.4034992151466,-21.5023914962152,-23.6220955704945,-16.7510270121576
-14.1896667751988,-20.2795007256572,-22.2936563407926,-15.5305093161997
-13.2052152428223,-19.2717489567317,-21.1103686392403,-14.5399888357275
-12.4079346657281,-18.4348880784245,-20.0772547541121,-13.7374249901132
-11.7682778301352,-17.7369403186301,-19.1936178148552,-13.0932159710196
-11.265184804976,-17.154664513224,-18.451460467103,-12.586132279165
-10.883258279888,-16.6717806932735,-17.8401402133768,-12.2006219432087
-10.6105680927123,-16.2779774854457,-17.3492522022742,-11.9246748555615
-10.4363566262907,-15.9679441924545,-16.9686974273176,-11.747528993866
-10.3475754797429,-15.739734659635,-16.6880438398349,-11.6562419444372
-10.3227343837841,-15.5918267468588,-16.4963241803972,-11.6297057855034
-10.3226763686996,-15.5183071656616,-16.381460629592,-11.6297052557675
-10.2863114632386,-15.5011692972874,-16.3284029793919,-11.5965285397855
-10.1541467214451,-15.4996194870529,-16.316264394033,-11.4709647907988
-9.91699851376463,-15.4470166858349,-16.3158118798228,-11.2416997696109
-9.62187403385087,-15.2837553569169,-16.2907169975446,-10.9533662295843
-9.32467990847458,-15.0134450987295,-16.2078549466249,-10.6613280451556
-9.05991559528096,-14.6965077166597,-16.0543581969319,-10.4006292202132
-8.84159831557984,-14.3922798691322,-15.8445224809254,-10.1858672985358
-8.67206589364561,-14.1326509871774,-15.6075448936919,-10.0196607130255
-8.5480496149884,-13.9278028956614,-15.3709865796874,-9.8987270601366
-8.46365068213288,-13.7764563319414,-15.1534829329757,-9.81695723124828
-8.41164870067972,-13.6721387099664,-14.9650013366341,-9.76685746398878
-8.38414607397312,-13.6062540446953,-14.8091449628375,-9.74035021154114
-8.37307391734601,-13.5695544489015,-14.6852215978926,-9.72943353950129
-8.37078735381583,-13.552937345493,-14.5899239489781,-9.72687305953553
-8.37076692844417,-13.5480267943004,-14.5187159042024,-9.72686489779793
-8.36827380981936,-13.5477461977987,-14.4668410243851,-9.72545800794371
-8.36071919067746,-13.5468971937186,-14.4299546644019,-9.72055127638538
-8.34756449604898,-13.5425809616908,-14.4044811679413,-9.71148578725952
-8.32976697181687,-13.5341880528509,-14.3877155530885,-9.69845044948079
-8.30899979604859,-13.5228024639545,-14.3776421365929,-9.68194670528773
-8.28694502321793,-13.510221955913,-14.3725728666987,-9.66244557395852
-8.26485260713216,-13.4980527903231,-14.3708379713828,-9.64024652880094
-8.24339168097808,-13.487223183422,-14.370691354281,-9.61548643612495
-8.22270701556618,-13.4779485927316,-14.3704146124455,-9.58823893691765
-8.20256710671788,-13.4699743160174,-14.3685015450996,-9.55865411384388
-8.18252087453693,-13.4628766654262,-14.3637767198905,-9.52709258809706
-8.16202829774945,-13.4562765902153,-14.3553427658822,-9.4942078259374
-8.14056939798278,-13.4499388442781,-14.3423839567419,-9.4609427253075
-8.1177499836224,-13.44379564722,-14.3239260511296,-9.42843685480836
-8.09341072981759,-13.437926052563,-14.2986156406924,-9.39787080576666
-8.06772184999136,-13.4324922082651,-14.2645768853614,-9.37029216698568
-8.04122672108216,-13.4276364738133,-14.2194258018586,-9.34647291315934
-8.01480049636057,-13.423382679961,-14.1605255404774,-9.32683409443964
-7.98951841862015,-13.4195895517256,-14.0855847742096,-9.31144280903539
-7.96646689174864,-13.4159493734354,-13.993618938615,-9.3000601789459
